names,D,std_grain,rho,std
2076,559.4617010841431,0.0015069260322130096,1.3845813428129788e+16,1.2969948829980362e+16
2077,559.516984692469,0.0014872453810306865,1.413193503609453e+16,1.3066372234478654e+16
2078,559.3591577518403,0.0014940542479781197,1.405511584304873e+16,1.3051157759373044e+16
2079,559.3189658005547,0.001503558936968529,1.3935037087423036e+16,1.3021038463870084e+16
2080,559.0684824087349,0.001499338337584794,1.3985021363479322e+16,1.302522637953872e+16
2081,558.7211309711753,0.0015020008930603358,1.3995316444422654e+16,1.3049849432801992e+16
2082,559.2041132780346,0.0015012988100908927,1.397033670218968e+16,1.3031723640440542e+16
2083,559.9586710737268,0.0015015634616822218,1.383647123807064e+16,1.2926546155582828e+16
2084,558.8483245382577,0.0015101079217071925,1.3874824560715966e+16,1.3010288588518862e+16
2085,559.299120165362,0.0015083134601934656,1.385033928635429e+16,1.2982359933129518e+16
2086,558.7918070390784,0.0015085311604868148,1.3919494097435874e+16,1.303722789192388e+16
2087,559.0297855785931,0.0015193270152999792,1.3695312368911608e+16,1.2924556251669798e+16
2088,558.9050196805671,0.0015097177655889256,1.3850116798372264e+16,1.2985082169310654e+16
2089,559.2367187527801,0.0015073770813337647,1.3844609106720052e+16,1.2967485633312154e+16
2090,558.8523217254686,0.0015017351569569892,1.3970063553030412e+16,1.3027055998381138e+16
2091,559.1553312001432,0.0014965766148334221,1.4043957036509734e+16,1.3058052413882466e+16
2092,559.4549764677893,0.0014974269242140038,1.4003912427671464e+16,1.303519870417281e+16
2093,559.2018454253692,0.0015064350855959127,1.3889460210234646e+16,1.3000554508807506e+16
2094,559.4814790912758,0.0014992969338946626,1.3993584075943624e+16,1.304246918234661e+16
2095,559.4334142446356,0.001498723760473796,1.3982518142773528e+16,1.3026054092851338e+16
2096,559.0582354420385,0.001501015988950414,1.401442321295283e+16,1.306697579828492e+16
2097,559.582669219542,0.001497074422840564,1.39743013044551e+16,1.3007542084631382e+16
2098,559.5790602692898,0.001501120609924981,1.392008093047529e+16,1.2992008413294876e+16
2099,559.2722117082546,0.0015011112336504975,1.3980171830580786e+16,1.3040856506881412e+16
2100,559.2276288120139,0.0015138929176060426,1.3737486529441468e+16,1.2922559696594224e+16
2101,559.7595842944644,0.0015018231423461644,1.3923192417536526e+16,1.300518835042398e+16
2102,559.2835183936027,0.001497345447627259,1.4059168393684072e+16,1.3081909821877034e+16
2103,560.046196257893,0.0014908038664431158,1.4050225001908362e+16,1.3034222552074366e+16
2104,559.4529160885902,0.0015008718630532187,1.396397930288602e+16,1.3027882856336722e+16
2105,559.172525857833,0.0015009261278704552,1.3963833290080818e+16,1.3021688090415418e+16
2106,558.9072641842657,0.0015057389713889876,1.394159130312316e+16,1.3036448189557756e+16
2107,559.1304331069114,0.0014960841086238306,1.4031118538639894e+16,1.3041241141994536e+16
2108,559.0525772110003,0.0015007188913648646,1.4003998771943694e+16,1.3054539541282898e+16
2109,559.8200970897348,0.0015018762749531244,1.3874092287798522e+16,1.296118506317568e+16
2110,559.0577104345039,0.0015136644802016225,1.3758750487688722e+16,1.2936677355679962e+16
2111,559.4033098757269,0.0014997587356283153,1.3974119330096152e+16,1.3026518782788e+16
2112,558.6943864742217,0.0015045089632441065,1.396532006600964e+16,1.3042999311435674e+16
2113,559.292185883455,0.0015163652123154898,1.3756237083444836e+16,1.2962826456481334e+16
2114,559.3518731810357,0.0015055112954265048,1.39021083963314e+16,1.300790259021243e+16
2115,559.043789593271,0.0015105885315149028,1.3842053008660338e+16,1.2988231148657142e+16
2116,559.1406694168794,0.001504599663727738,1.390875079914826e+16,1.3001326328422674e+16
2117,558.9044592245411,0.001508376883563639,1.3889076628148822e+16,1.301003027713528e+16
2118,559.5910578697165,0.0015003443249931416,1.3936412011868052e+16,1.3000802883728268e+16
2119,559.2554850614772,0.0014994097498920566,1.3960211585663854e+16,1.3007087864984268e+16
2120,559.6297405142839,0.001499311101471757,1.3949300104271148e+16,1.3004763277037764e+16
2121,559.4730330773644,0.0014988623468273467,1.3963493155059202e+16,1.3010454700038074e+16
2122,558.908845359416,0.0015086838837499058,1.3894619192935484e+16,1.301797320135444e+16
2123,559.5048685309386,0.00150573645384583,1.3900486039983414e+16,1.3011887842265742e+16
2124,558.5926438998523,0.0015038974423114586,1.400272271652305e+16,1.3070235488978164e+16
2125,559.5000560573902,0.0014962285042756942,1.404078625214546e+16,1.3060114276205664e+16
2126,559.3881870969351,0.0015030091667660177,1.393312622054287e+16,1.3016103167021494e+16
2127,559.896356227525,0.0014960849800344787,1.3988196767262876e+16,1.3019164885822998e+16
2128,559.2750674319266,0.0015017111227491442,1.3938709817213772e+16,1.300744276832214e+16
2129,559.3780425110688,0.0015134383672307775,1.3722029164815392e+16,1.2907614404224164e+16
2130,559.257472658918,0.0015058984880772924,1.390815441039685e+16,1.3014709754496832e+16
2131,559.1108484611686,0.0015199883773830223,1.3663243760825528e+16,1.2901775873026182e+16
2132,559.2924227577163,0.001515551465269886,1.3702056771706462e+16,1.2904847523299112e+16
2133,559.0119900743841,0.0015017675123617197,1.3966322868579724e+16,1.3027569427301902e+16
2134,558.8756758446981,0.001505122868039105,1.3946540191703886e+16,1.3035003004243258e+16
2135,559.2953400112871,0.0015029553079142742,1.3943960029473368e+16,1.3023595144449886e+16
2136,559.3901653591436,0.0015048245930339525,1.3877043548800338e+16,1.2979415897970716e+16
2137,559.1317834305876,0.0014990197952667907,1.4004115557795698e+16,1.304171557169058e+16
2138,559.2918613934704,0.0014978489376016072,1.4027076536644066e+16,1.3056632267132154e+16
2139,559.2019086323157,0.0015055421195086117,1.3940487835051356e+16,1.304058329143437e+16
2140,559.2148929795553,0.0015014446527148251,1.3995626991107944e+16,1.3056834711754734e+16
2141,559.3070406950156,0.001499920801838407,1.4028514553419318e+16,1.3076387813328024e+16
2142,559.1270511205161,0.001508075640218848,1.3890827331267668e+16,1.3014252623701844e+16
2143,575.0347555816822,0.001312073284821477,1.7396359652505964e+16,1.4583711210694268e+16
2144,575.0243237222778,0.0013517645496433643,1.578347219700443e+16,1.3631614907517818e+16
2145,574.9700915033462,0.0013635803579494488,1.5552281221531722e+16,1.3548074693392578e+16
2146,574.7824103574195,0.0013509065461407548,1.6013207628472526e+16,1.3815436173449236e+16
2147,575.6491455130441,0.0013700142772158266,1.5372049130555998e+16,1.3470143172061518e+16
